INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,CIPLA,28-Jan-2016,0,XX,0,0,0,704.4,635.1,0,0,0,0,16-NOV-2015,
FUTSTK,COALINDIA,26-Nov-2015,0,XX,335.1,337,327,331.35,331.35,5238,20865.99,13903200,240000,16-NOV-2015,
FUTSTK,COALINDIA,31-Dec-2015,0,XX,336.5,336.5,328,332,332,453,1808.62,610800,104400,16-NOV-2015,
FUTSTK,COALINDIA,28-Jan-2016,0,XX,328.6,331.6,327.15,329.75,329.75,13,51.4,187200,2400,16-NOV-2015,
FUTSTK,COLPAL,26-Nov-2015,0,XX,949.95,953.55,939.95,946.6,946.6,349,1650.5,1756500,-10000,16-NOV-2015,
FUTSTK,COLPAL,31-Dec-2015,0,XX,941.8,943.3,941.8,943.3,943.3,7,33.05,25500,500,16-NOV-2015,
FUTSTK,COLPAL,28-Jan-2016,0,XX,0,0,0,993.45,959.9,0,0,0,0,16-NOV-2015,
FUTSTK,CROMPGREAV,26-Nov-2015,0,XX,168,172.8,168,172.2,172.2,847,4349.17,12759000,-192000,16-NOV-2015,
FUTSTK,CROMPGREAV,31-Dec-2015,0,XX,169.3,172,167.65,171.35,171.35,60,306.45,459000,-27000,16-NOV-2015,
FUTSTK,CROMPGREAV,28-Jan-2016,0,XX,0,0,0,169.2,174.75,0,0,6000,0,16-NOV-2015,
FUTSTK,DABUR,26-Nov-2015,0,XX,265.4,266.5,260.75,262.05,262.05,791,4153.49,3370000,542000,16-NOV-2015,
FUTSTK,DABUR,31-Dec-2015,0,XX,266,266.7,262.35,263.25,263.25,72,381.43,126000,88000,16-NOV-2015,
FUTSTK,DABUR,28-Jan-2016,0,XX,0,0,0,277.5,264.8,0,0,0,0,16-NOV-2015,
FUTSTK,DHFL,26-Nov-2015,0,XX,214.1,216.9,214,216.25,216.25,332,1575.41,6061000,63800,16-NOV-2015,
FUTSTK,DHFL,31-Dec-2015,0,XX,217.15,217.9,216.4,217.7,217.7,8,38.24,123200,6600,16-NOV-2015,
FUTSTK,DHFL,28-Jan-2016,0,XX,0,0,0,230.95,218.55,0,0,0,0,16-NOV-2015,
FUTSTK,DISHTV,26-Nov-2015,0,XX,102.05,104.05,102.05,103.55,103.55,2018,10440.18,38975000,-1030000,16-NOV-2015,
FUTSTK,DISHTV,31-Dec-2015,0,XX,103.2,104.7,103,104.35,104.35,82,427.01,620000,180000,16-NOV-2015,
FUTSTK,DISHTV,28-Jan-2016,0,XX,104.25,104.25,104.25,104.25,104.9,1,5.21,0,-5000,16-NOV-2015,
FUTSTK,DIVISLAB,26-Nov-2015,0,XX,1146.7,1168.15,1123.4,1130.95,1130.95,1325,9100.48,2457600,6000,16-NOV-2015,
FUTSTK,DIVISLAB,31-Dec-2015,0,XX,1164.05,1174.85,1131,1134.35,1134.35,16,109.76,30000,600,16-NOV-2015,
FUTSTK,DIVISLAB,28-Jan-2016,0,XX,0,0,0,1141.25,1143.6,0,0,2400,0,16-NOV-2015,
FUTSTK,DLF,26-Nov-2015,0,XX,110,111.2,108.65,110.35,110.35,3968,21864.91,44135000,1655000,16-NOV-2015,
FUTSTK,DLF,31-Dec-2015,0,XX,109,111.25,109,110.65,110.65,214,1181.83,1835000,525000,16-NOV-2015,
FUTSTK,DLF,28-Jan-2016,0,XX,111.7,111.7,111.7,111.7,111.5,1,5.58,65000,0,16-NOV-2015,
FUTSTK,DRREDDY,26-Nov-2015,0,XX,3440,3524.45,3412.4,3510.65,3510.65,13829,72132.19,1748250,-228900,16-NOV-2015,
FUTSTK,DRREDDY,31-Dec-2015,0,XX,3424,3544.55,3424,3530.85,3530.85,431,2263.63,136050,7650,16-NOV-2015,
FUTSTK,DRREDDY,28-Jan-2016,0,XX,3440.05,3555,3440.05,3555,3555,3,15.77,5550,-150,16-NOV-2015,
FUTSTK,EICHERMOT,26-Nov-2015,0,XX,15565.1,15739.95,15086.65,15328.45,15328.45,4976,19146.66,311400,9725,16-NOV-2015,
FUTSTK,EICHERMOT,31-Dec-2015,0,XX,15695,15695,15195.85,15409.3,15409.3,315,1214.69,8425,3050,16-NOV-2015,
FUTSTK,EICHERMOT,28-Jan-2016,0,XX,15400,15717.6,15320,15550,15488.8,6,23.27,225,150,16-NOV-2015,
FUTSTK,ENGINERSIN,26-Nov-2015,0,XX,191,192.45,189.05,191.45,191.45,279,1173.75,1661000,13200,16-NOV-2015,
FUTSTK,ENGINERSIN,31-Dec-2015,0,XX,0,0,0,185.85,192.15,0,0,6600,0,16-NOV-2015,
FUTSTK,ENGINERSIN,28-Jan-2016,0,XX,0,0,0,203.9,193.25,0,0,0,0,16-NOV-2015,
FUTSTK,EXIDEIND,26-Nov-2015,0,XX,145,148.4,145,147.35,147.35,587,2934.23,7031200,-278800,16-NOV-2015,
